ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000106106,-0.0532469000057733,-1.06370187166439,-0.386832614597266,1.64222332628244,-0.138441940015011
ENSMUSG00000097971,-1.76482888452254,0.674377857173669,0.513337667882619,0.272003160403117,0.305110199063131
ENSMUSG00000105361,0.0276651333908999,-1.0829992320729,-0.398457128812885,1.62434331519071,-0.170552087695828
ENSMUSG00000098178,-0.0448279100039106,-1.04919219747404,-0.391367063308991,1.64846135072627,-0.16307417993933
ENSMUSG00000092341,1.31621801295432,0.770654656789658,-0.666045267763956,-0.378246581512804,-1.04258082046722
ENSMUSG00000026131,1.40550936339979,-0.653071394364556,0.712511388380917,-0.639387636675517,-0.825561720740636
ENSMUSG00000021250,1.35270059191449,-0.325339776774478,0.677786283846751,-0.577621210786975,-1.12752588819979
ENSMUSG00000037742,0.222640659524202,-0.893132633278669,-1.1896705388783,0.990607937714886,0.869554574917882
ENSMUSG00000064339,0.0827091624924842,-0.795450566425032,-0.0319398722736794,1.61373548540331,-0.869054209197083
ENSMUSG00000064351,1.22819600213337,-0.591531981640925,0.380411045560699,0.351605212818983,-1.36868027887213
ENSMUSG00000024597,-0.646256459996777,1.72893945257502,-0.709487706820161,-0.0863210492565755,-0.28687423650151
ENSMUSG00000047730,-0.212764228465339,1.7713474473445,-0.566044666225356,-0.451066121251931,-0.54147243140187
ENSMUSG00000005268,-0.686043095544418,1.71617968119783,-0.674125618976597,0.00400401990506163,-0.36001498658188
ENSMUSG00000026185,-0.263363680100746,0.772628557581009,1.19300477348105,-0.370737431558944,-1.33153221940237
ENSMUSG00000069833,-0.0194304734521489,1.62257607417724,-0.311138129373033,-1.11259818037318,-0.179409290978869
ENSMUSG00000034994,-0.681839285394032,0.816749621025239,-0.980661049394527,-0.457088283484615,1.30283899724793
ENSMUSG00000029580,-1.08355540069384,-0.529598243743605,-0.0248656365125656,1.59465824377089,0.0433610371791166
ENSMUSG00000049112,0.314861776689196,-0.80332204299303,1.59578421842248,-0.334658188891685,-0.772665763226964
ENSMUSG00000027750,0.206645418485726,-0.830734022855255,1.60754413278968,-0.175984096630672,-0.807471431789478
ENSMUSG00000031328,0.237445012450792,-1.05256081134469,1.5654036563525,-0.147348996128743,-0.602938861329857
ENSMUSG00000035783,0.144377895590154,-0.864809958373808,1.5848740599024,-0.0164067430199396,-0.848035254098804
ENSMUSG00000018830,0.240036468291181,-0.765199930795309,1.62995398255698,-0.340474841061584,-0.764315678991268
ENSMUSG00000040152,1.57781098461752,-1.1664536404326,0.0873170383772404,-0.344036891489058,-0.154637491073103
ENSMUSG00000045545,1.29665808828312,-1.30184334422964,0.584367666155944,-0.0501439167734375,-0.529038493435987
ENSMUSG00000022893,1.65918432180214,-0.916909528808473,0.137517995273647,-0.424806197009048,-0.454986591258268
ENSMUSG00000038418,1.39456234140254,-0.1452929686625,0.560311403935515,-0.701264387342727,-1.10831638933283
ENSMUSG00000003545,1.10860051167119,0.99204079165537,-0.306170693129109,-0.693449762859087,-1.10102084733836
ENSMUSG00000086503,1.48239811252033,0.180630629981834,0.189374058349468,-0.830525360501303,-1.02187744035033
ENSMUSG00000064345,1.28508611167463,-0.486762546013123,0.28464520568994,0.30827509099879,-1.39124386235024
ENSMUSG00000064341,1.33603693469318,-0.42510322795794,0.228441225304472,0.24671303110656,-1.38608796314628
ENSMUSG00000064370,1.19024260167263,-0.432794251541094,0.300133608038053,0.405738769826314,-1.4633207279959
ENSMUSG00000064367,1.15912780178571,-0.12394050562799,0.35927783054754,0.180182513982665,-1.57464764068792
ENSMUSG00000064337,0.0872827152753879,-0.724052616926447,-0.141935218585706,1.64330493104793,-0.864599810811167
ENSMUSG00000032216,-0.349618309990197,-1.47581514405305,1.20525869347939,0.144588418237751,0.475586342326112
ENSMUSG00000032399,-0.0921775635828655,-1.26861265096066,-0.542674712312268,0.580222011807619,1.32324291504818
ENSMUSG00000005610,0.727480337466585,-0.782461753327404,-0.733652363531144,-0.608007547216899,1.39664132660886
ENSMUSG00000022283,-0.837606403207647,-0.0388361998156297,-0.949332096711879,0.309170029449503,1.51660467028565
ENSMUSG00000023944,-0.538139684966458,-0.216787296750831,-0.952931605703645,0.0486529979681225,1.65920558945281
ENSMUSG00000020719,1.23182277219869,0.827663762990496,-1.09141793239977,-0.746535577875437,-0.221533024913987
ENSMUSG00000022443,-0.200596089280656,-0.0697588783356057,1.67216874863353,-0.404085693803365,-0.997728087213898
ENSMUSG00000026864,-0.0767424492551878,1.68298282650918,-0.966073066698072,-0.428423719902888,-0.211743590653032
ENSMUSG00000052684,-0.0241336052296623,1.64114180727252,-0.195788121299797,-0.351580173838698,-1.06963990690436
ENSMUSG00000076258,-0.128586585596199,-0.898271633064778,-0.563639711872357,1.68800929282409,-0.0975113622907594
ENSMUSG00000022892,0.327533057748566,-0.067339950516659,1.51167131183613,-0.756925402856458,-1.01493901621158
ENSMUSG00000070047,0.136463778622686,-0.514405328189344,1.62559483657551,-1.00846079465425,-0.239192492354596
ENSMUSG00000022952,1.45378388746418,-0.0614857522467399,0.44325691866551,-0.946273464877706,-0.889281589005244
ENSMUSG00000022462,1.69134519037659,0.000400727414758135,-0.309912564388502,-0.901361183107952,-0.480472170294894
ENSMUSG00000015656,0.847618089735885,-1.55055088659132,-0.253096794203051,0.0559477124027797,0.900081878655708
ENSMUSG00000026234,1.08342306456513,-0.705019367624334,-0.976248183107302,-0.474825979726573,1.07267046589308
ENSMUSG00000064363,1.17483603279027,-0.440838877730258,0.408642303919476,0.32467702853399,-1.46731648751347
ENSMUSG00000037876,1.71677018044155,-0.645265489059395,-0.0442735351226634,-0.744668089551145,-0.282563066708345
ENSMUSG00000000787,1.63349289374326,0.168930840520846,-0.326771393766118,-0.969784009541751,-0.505868330956239
ENSMUSG00000054889,1.15382932313628,-1.20843657912557,0.835749229580435,-0.710563768827398,-0.0705782047637443
ENSMUSG00000060126,1.3897197956112,-1.15417324336428,0.29003249605217,0.244323627531918,-0.769902675831001
ENSMUSG00000017707,-0.441896859859807,1.7206248071903,-0.768305078658617,-0.00659627811740598,-0.503826590554474
